date,Merchant,Barges,Other,Tugs,Tanker,Fishing,Pleasure Crafts,Excursion
2017-09-20,4174,125,1,452,937,264,122,846
2017-09-30,4089,137,0,387,905,244,98,711
2017-10-10,3928,102,3,395,945,220,105,552
2017-10-20,3844,148,1,448,951,170,73,353
2017-10-30,4074,161,1,450,1001,206,84,190
2017-11-10,3552,135,6,507,921,171,14,19
2017-11-20,3864,114,7,461,825,157,10,10
2017-11-30,3969,83,10,470,910,126,10,8
2017-12-10,3767,125,5,424,900,105,13,33
2017-12-20,3586,109,16,398,827,108,17,9
2017-12-30,3555,56,5,305,903,87,11,8
2018-01-10,2524,74,6,331,782,80,11,2
2018-01-20,2329,94,11,364,763,151,15,2
2018-01-30,2375,98,13,385,796,99,11,2
2018-02-10,2221,102,8,348,718,83,17,0
2018-02-20,2141,100,10,358,680,62,18,1
2018-02-30,1744,52,16,241,618,76,14,4
2018-03-10,2118,81,27,304,712,108,10,1
2018-03-20,2121,68,13,391,724,92,44,4
2018-03-30,2671,103,17,431,826,123,35,5
2018-04-10,2714,98,15,378,820,142,33,13
2018-04-20,2946,117,18,397,879,135,56,42
2018-04-30,3219,100,12,433,1030,122,49,85
2018-05-10,3595,111,12,452,1127,108,56,144
2018-05-20,3647,108,8,434,999,108,86,348
2018-05-30,4162,96,32,470,991,179,104,474
2018-06-10,3878,120,27,408,991,194,77,556
2018-06-20,3728,139,23,418,1034,166,104,551
2018-06-30,3954,128,19,431,865,188,97,793
2018-07-10,3856,139,13,426,945,167,175,879
2018-07-20,3920,142,6,457,989,198,199,1093
2018-07-30,4490,134,19,476,1005,202,221,1181
2018-08-10,4142,121,13,389,843,185,282,1034
2018-08-20,4229,135,14,398,915,162,258,1097
2018-08-30,4648,171,9,420,1052,229,192,1031
2018-09-10,4179,116,5,305,968,209,135,857
2018-09-20,4481,116,5,389,920,208,126,701
2018-09-30,4628,107,8,367,862,188,93,690
2018-10-10,4252,105,7,385,849,170,70,486
2018-10-20,4153,117,11,344,810,173,64,279
2018-10-30,4575,112,18,421,909,173,49,203
2018-11-10,3799,101,6,360,714,171,12,41
2018-11-20,4102,85,10,362,793,127,6,23
2018-11-30,4022,80,8,331,848,129,0,11
2018-12-10,4084,67,19,342,899,138,0,25
2018-12-20,3698,88,17,328,898,119,0,18
2018-12-30,3549,52,5,348,937,73,0,7
2019-01-10,2841,53,3,288,713,89,0,4
2019-01-20,2512,62,8,354,741,161,2,0
2019-01-30,2441,72,9,344,751,77,0,0
2019-02-10,2189,65,21,310,750,75,5,0
2019-02-20,2207,74,17,315,757,71,6,2
2019-02-30,1742,55,4,273,592,61,2,0
2019-03-10,2453,64,24,261,810,93,2,19
2019-03-20,2180,51,7,364,694,68,30,20
2019-03-30,2895,65,5,372,813,129,21,22
2019-04-10,2938,80,0,332,835,138,28,22
2019-04-20,3429,105,9,426,926,144,39,33
2019-04-30,3521,94,1,381,1008,118,47,55
2019-05-10,3893,129,11,415,898,133,48,158
2019-05-20,3907,114,4,422,968,209,61,336
2019-05-30,4381,100,18,500,1052,231,88,351
2019-06-10,3858,113,6,445,1017,235,86,488
2019-06-20,3855,131,14,435,945,239,101,565
2019-06-30,3974,95,12,407,856,217,125,856
2019-07-10,3927,109,6,439,874,238,204,876
2019-07-20,4046,109,22,434,947,161,212,1063
2019-07-30,4434,113,21,476,953,179,217,1201
2019-08-10,4054,89,12,469,927,215,253,1141
2019-08-20,4047,123,3,443,877,234,296,1117
2019-08-30,4616,157,7,469,1064,236,358,1148
2019-09-10,4333,98,11,426,845,260,206,841
2019-09-20,4486,102,7,479,957,186,115,833
2019-09-30,4276,96,3,437,956,163,83,741
2019-10-10,4222,104,13,431,959,227,86,484
2019-10-20,3976,99,17,320,979,152,61,401
2019-10-30,4267,102,16,478,1085,200,62,181
2019-11-10,3287,82,24,383,937,179,38,49
2019-11-20,3687,73,8,372,901,219,31,6
2019-11-30,3649,67,10,338,882,167,33,11
2019-12-10,3473,67,15,337,944,169,22,21
2019-12-20,3350,61,18,390,935,117,20,18
2019-12-30,3230,47,4,291,874,87,22,9
2020-01-10,2557,34,3,306,689,107,20,10
2020-01-20,2139,55,15,294,753,172,20,0
2020-01-30,2508,64,13,405,783,94,26,1
2020-02-10,2118,59,9,272,656,91,24,3
